S&P/ASX 200 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,584,570,000",0.19,,,
SLR,Silver Lake Resource,Materials,"1,412,150,000",0.08,,,
SOL,Soul Pattinson (W.H),Energy,"4,673,000,000",0.25,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"7,991,150,000",0.43,,,
SSM,Service Stream,Industrials,"855,714,000",0.05,,,
STO,Santos Limited,Energy,"14,227,300,000",0.76,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,602,090,000",0.09,,,
SUN,Suncorp Group Limited,Financials,"14,299,200,000",0.76,,,
SVW,Seven Group Holdings,Industrials,"5,962,510,000",0.32,,,
SXL,STHN Cross Media,,"526,774,000",0.03,,,
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,"17,558,900,000",0.94,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"7,675,830,000",0.41,,,
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,"40,615,000,000",2.17,,,
TGR,Tassal Group Limited,Consumer Staples,"798,393,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"40,794,000,000",2.18,,,
TNE,Technology One,Information Technology,"2,498,380,000",0.13,,,
TPM,TPG Telecom Limited,Telecommunication Services,"6,986,420,000",0.37,,,
TWE,Treasury Wine Estate,Consumer Staples,"7,941,000,000",0.42,,,
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,"2,813,520,000",0.15,,,
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,"8,115,680,000",0.43,,,
VEA,Viva Energy Group,Energy,"3,422,380,000",0.18,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,134,760,000",0.11,,,
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,"2,702,540,000",0.14,,,
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,"2,123,940,000",0.11,,,
